eixo;altura_m;cota_NA_m;area_alagada_km2;volume_hm3;metodo;confiabilidade
MC2;38,0;145,5;4,062;74,47;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;39,0;146,5;4,196;78,66;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;40,0;147,5;4,364;83,13;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;41,0;148,5;4,646;87,95;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;42,0;149,5;5,057;93,13;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;43,0;150,5;5,519;98,6;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;44,0;151,5;5,952;104,32;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;45,0;152,5;6,277;110,24;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;46,0;153,5;6,496;116,42;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;47,0;154,5;6,677;122,92;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;48,0;155,5;6,839;129,68;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;49,0;156,5;6,999;136,65;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;50,0;157,5;7,176;143,75;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;51,0;158,5;7,372;151,01;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;52,0;159,5;7,576;158,48;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;53,0;160,5;7,785;166,16;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;54,0;161,5;7,995;174,04;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;55,0;162,5;8,206;182,11;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;56,0;163,5;8,414;190,4;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;57,0;164,5;8,623;198,92;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;58,0;165,5;8,833;207,67;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;59,0;166,5;9,049;216,63;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;60,0;167,5;9,272;225,8;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;61,0;168,5;9,507;235,19;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;62,0;169,5;9,753;244,83;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;63,0;170,5;10,004;254,7;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;64,0;171,5;10,255;264,81;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;65,0;172,5;10,5;275,15;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;66,0;173,5;10,739;285,75;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;67,0;174,5;10,974;296,62;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;68,0;175,5;11,208;307,75;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;69,0;176,5;11,443;319,1;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;70,0;177,5;11,679;330,67;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;71,0;178,5;11,916;342,46;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;72,0;179,5;12,151;354,5;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;73,0;180,5;12,389;366,79;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;74,0;181,5;12,63;379,32;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;75,0;182,5;12,879;392,08;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;76,0;183,5;13,135;405,09;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;77,0;184,5;13,396;418,36;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;78,0;185,5;13,663;431,89;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;79,0;186,5;13,936;445,69;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;80,0;187,5;14,217;459,76;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;81,0;188,5;14,509;474,1;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;82,0;189,5;14,811;488,73;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;83,0;190,5;15,12;503,66;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;84,0;191,5;15,43;518,89;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;85,0;192,5;15,737;534,42;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;86,0;193,5;16,043;550,3;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;87,0;194,5;16,352;566,55;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;88,0;195,5;16,659;583,11;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;89,0;196,5;16,962;599,96;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;90,0;197,5;17,256;617,06;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;91,0;198,5;17,539;634,42;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;92,0;199,5;17,813;652,09;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;93,0;200,5;18,083;670,05;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;94,0;201,5;18,355;688,29;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;95,0;202,5;18,634;706,8;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;96,0;203,5;18,919;725,59;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;97,0;204,5;19,207;744,68;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;98,0;205,5;19,499;764,06;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;99,0;206,5;19,796;783,74;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;100,0;207,5;20,1;803,72;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;101,0;208,5;20,412;824,01;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;102,0;209,5;20,732;844,62;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;103,0;210,5;21,058;865,55;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;104,0;211,5;21,385;886,79;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;105,0;212,5;21,712;908,33;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;106,0;213,5;22,037;930,2;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;107,0;214,5;22,362;952,4;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;108,0;215,5;22,689;974,93;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;109,0;216,5;23,019;997,79;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;110,0;217,5;23,352;1020,97;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;111,0;218,5;23,69;1044,49;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;112,0;219,5;24,032;1068,35;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;113,0;220,5;24,376;1092,57;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;114,0;221,5;24,723;1117,12;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;115,0;222,5;25,07;1142,02;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;116,0;223,5;25,418;1167,27;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;117,0;224,5;25,769;1192,89;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;118,0;225,5;26,12;1218,88;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;119,0;226,5;26,474;1245,22;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
MC2;120,0;227,5;26,829;1271,91;PCHIP monotonica entre pontos MDE de 5 m;B - CAV do MDE natural, eixo sem reservatorio
